topic,term1,term2,score,relatedness_level
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,sovereign default,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,spending,0.3,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,troika,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,year bonds,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt swap,austerity measures,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt swap,citizens,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt swap,europe,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt swap,social support,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debts,austerity measures,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debts,citizens,0.3,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debts,europe,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debts,social support,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,deficit,austerity measures,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,deficit,budget,0.9,high
europe should weaken its austerity measures to guarantee its citizens greater social support,deficit,citizens,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,deficit,europe,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,deficit,private sector,0.3,low
europe should weaken its austerity measures to guarantee its citizens greater social support,deficit,recession,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,deficit,social support,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,deficit,sovereign debt,0.9,high
europe should weaken its austerity measures to guarantee its citizens greater social support,deficit,year bonds,0.5,medium
